p1,p2,p3,p4
"['2020-09-19', 189775.74511044318]","['2020-09-26', 194469.6294270838]","['2020-10-03', 195993.62821974364]","['2020-10-10', 203644.41085968312]"
"['2020-09-19', 190576.67975913512]","['2020-09-26', 197921.5976795297]","['2020-10-03', 197094.29133642392]","['2020-10-10', 207084.38360819692]"
"['2020-09-19', 190764.60332299894]","['2020-09-26', 198090.44756504302]","['2020-10-03', 200226.34632060272]","['2020-10-10', 207623.07386040382]"
"['2020-09-19', 191385.24435911333]","['2020-09-26', 199236.19729516713]","['2020-10-03', 200875.13674708677]","['2020-10-10', 208507.38631145193]"
"['2020-09-19', 191479.76816008237]","['2020-09-26', 199355.69616184192]","['2020-10-03', 201955.2927565466]","['2020-10-10', 208754.4175717826]"
"['2020-09-19', 193489.75221553355]","['2020-09-26', 199543.36647108462]","['2020-10-03', 203263.48454385766]","['2020-10-10', 208803.06621014478]"
"['2020-09-19', 193885.88326511031]","['2020-09-26', 199749.89815251]","['2020-10-03', 203936.51335107905]","['2020-10-10', 209081.40799488357]"
"['2020-09-19', 194805.66873110068]","['2020-09-26', 200201.3144522915]","['2020-10-03', 204790.20101644858]","['2020-10-10', 209138.7797071785]"
"['2020-09-19', 195053.50909100988]","['2020-09-26', 200241.24490434167]","['2020-10-03', 204866.0232709435]","['2020-10-10', 209644.73780663652]"
"['2020-09-19', 195103.00095137046]","['2020-09-26', 200700.91514130958]","['2020-10-03', 205086.8366227148]","['2020-10-10', 210489.81009075706]"
"['2020-09-19', 196594.39331052743]","['2020-09-26', 201135.81450038147]","['2020-10-03', 205541.93406369034]","['2020-10-10', 210593.7350029542]"
"['2020-09-19', 196645.74399926185]","['2020-09-26', 201169.21604101872]","['2020-10-03', 205659.75711832044]","['2020-10-10', 210740.89792242894]"
"['2020-09-19', 197490.7453135637]","['2020-09-26', 201925.0264808814]","['2020-10-03', 206034.3085363076]","['2020-10-10', 211142.00711299613]"
"['2020-09-19', 197677.77352410075]","['2020-09-26', 202004.2626526844]","['2020-10-03', 206625.1617898831]","['2020-10-10', 211238.2489024931]"
"['2020-09-19', 198687.9773027647]","['2020-09-26', 202044.38349062143]","['2020-10-03', 206678.13787205782]","['2020-10-10', 211345.72169313562]"
"['2020-09-19', 198975.83412033384]","['2020-09-26', 202343.94192397947]","['2020-10-03', 206805.28796529997]","['2020-10-10', 212005.20182156077]"
"['2020-09-19', 199648.23454812434]","['2020-09-26', 202585.34609954103]","['2020-10-03', 206868.92577427448]","['2020-10-10', 212032.9398667699]"
"['2020-09-19', 200123.00222484872]","['2020-09-26', 202633.11554712275]","['2020-10-03', 206904.81891035035]","['2020-10-10', 212434.6831364]"
"['2020-09-19', 200647.02876903885]","['2020-09-26', 203056.19523145506]","['2020-10-03', 206952.94694014284]","['2020-10-10', 212499.39529579642]"
"['2020-09-19', 201378.27436323962]","['2020-09-26', 203181.1458618172]","['2020-10-03', 207121.15448795847]","['2020-10-10', 212782.0846731284]"
"['2020-09-19', 201382.25527751207]","['2020-09-26', 203711.48816002937]","['2020-10-03', 207675.3681960136]","['2020-10-10', 212810.8208702314]"
"['2020-09-19', 201498.47761966047]","['2020-09-26', 204524.90374698566]","['2020-10-03', 207882.61895305314]","['2020-10-10', 212903.2287129204]"
"['2020-09-19', 201522.57408119607]","['2020-09-26', 205046.15508595252]","['2020-10-03', 208490.1311600991]","['2020-10-10', 213462.4264334063]"
"['2020-09-19', 201638.320591402]","['2020-09-26', 206493.25905340406]","['2020-10-03', 209224.50552641344]","['2020-10-10', 213689.81558063277]"
"['2020-09-19', 201711.58359312132]","['2020-09-26', 206568.87485443268]","['2020-10-03', 209375.08487556962]","['2020-10-10', 214169.04922917503]"
"['2020-09-19', 202095.88450563973]","['2020-09-26', 206912.52337036873]","['2020-10-03', 211543.53756383737]","['2020-10-10', 214870.3556475905]"
"['2020-09-19', 202401.94702937186]","['2020-09-26', 207054.89898416382]","['2020-10-03', 211752.87067039602]","['2020-10-10', 215296.49742798964]"
"['2020-09-19', 202752.10699065504]","['2020-09-26', 209206.74435036373]","['2020-10-03', 213267.77726114588]","['2020-10-10', 215893.8932065196]"
"['2020-09-19', 203763.31358582183]","['2020-09-26', 209621.29898780907]","['2020-10-03', 213788.93502207316]","['2020-10-10', 215896.30330370017]"
"['2020-09-19', 204193.92071575884]","['2020-09-26', 209624.22581531055]","['2020-10-03', 216641.17189172498]","['2020-10-10', 219278.58156492285]"
